timestamp,pm25,pm10,co,no2,so2,o3,location,hour,day,month,day_of_week,is_rush_hour,is_weekend,pm25_change,pm10_change,co_change,no2_change,so2_change,o3_change,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm10_lag_1h,pm10_lag_3h,pm25_rolling_3h,pm25_rolling_6h,pm25_rolling_12h,pm10_rolling_3h,pm10_rolling_6h,post_rain_effect,pm25_next_hour,pm10_next_hour
01/09/2025 11:00,23.9,56.7,244,5.7,12,72,Karachi,11,1,9,0,0,0,-0.5,-2.2,19,1.3,0.2,-6,24.4,25.7,24.3,58.9,65,24.4,24.81666667,23.18333333,58.86666667,62.23333333,0,25.8,62.6
01/09/2025 12:00,25.8,62.6,260,7.8,12.8,66,Karachi,12,1,9,0,0,0,1.9,5.9,16,2.1,0.8,-6,23.9,24.9,24.9,56.7,61,24.7,24.96666667,23.78333333,59.4,61.53333333,0,24.5,56.8
01/09/2025 13:00,24.5,56.8,271,12.6,12.6,57,Karachi,13,1,9,0,0,0,-1.3,-5.8,11,4.8,-0.2,-9,25.8,24.4,25.1,62.6,58.9,24.73333333,24.86666667,24.20833333,58.7,60.16666667,0,24.3,49.2
01/09/2025 14:00,24.3,49.2,278,19.2,12.2,45,Karachi,14,1,9,0,0,0,-0.2,-7.6,7,6.6,-0.4,-12,24.5,23.9,25.7,56.8,56.7,24.86666667,24.63333333,24.475,56.2,57.53333333,0,25,49.2
01/09/2025 15:00,25,49.2,282,23.6,11.7,37,Karachi,15,1,9,0,0,0,0.7,0,4,4.4,-0.5,-8,24.3,25.8,24.9,49.2,62.6,24.6,24.65,24.675,51.73333333,55.56666667,0,25.2,49.6
01/09/2025 16:00,25.2,49.6,285,23.8,11,36,Karachi,16,1,9,0,0,0,0.2,0.4,3,0.2,-0.7,-1,25,24.5,24.4,49.2,56.8,24.83333333,24.78333333,24.83333333,49.33333333,54.01666667,0,25.3,49.2
01/09/2025 17:00,25.3,49.2,285,21.8,10.2,38,Karachi,17,1,9,0,1,0,0.1,-0.4,0,-2,-0.8,2,25.2,24.3,23.9,49.6,49.2,25.16666667,25.01666667,24.91666667,49.33333333,52.76666667,0,25,48.5
01/09/2025 18:00,25,48.5,272,19.2,9.4,41,Karachi,18,1,9,0,1,0,-0.3,-0.7,-13,-2.6,-0.8,3,25.3,25,25.8,49.2,49.2,25.16666667,24.88333333,24.925,49.1,50.41666667,0,24.4,47.8
01/09/2025 19:00,24.4,47.8,236,16.2,8.5,44,Karachi,19,1,9,0,1,0,-0.6,-0.7,-36,-3,-0.9,3,25,25.2,24.5,48.5,49.6,24.9,24.86666667,24.86666667,48.5,48.91666667,0,23.3,46.1
01/09/2025 20:00,23.3,46.1,187,12.7,7.5,47,Karachi,20,1,9,0,0,0,-1.1,-1.7,-49,-3.5,-1,3,24.4,25.3,24.3,47.8,49.2,24.23333333,24.7,24.66666667,47.46666667,48.4,0,22.7,45.4
