timestamp,pm25,pm10,co,no2,so2,o3,location
2025-09-01 00:00:00,18.6,48.4,136.0,6.2,6.2,48.0,Karachi
2025-09-01 01:00:00,19.4,49.4,187.0,8.2,7.1,47.0,Karachi
2025-09-01 02:00:00,21.1,51.7,256.0,10.8,8.4,45.0,Karachi
2025-09-01 03:00:00,22.6,58.4,296.0,12.0,9.6,47.0,Karachi
2025-09-01 04:00:00,23.3,64.5,277.0,10.3,10.5,54.0,Karachi
2025-09-01 05:00:00,24.3,67.5,228.0,7.1,11.3,65.0,Karachi
2025-09-01 06:00:00,24.9,66.8,193.0,4.6,11.8,73.0,Karachi
2025-09-01 07:00:00,25.1,65.0,189.0,3.6,11.9,78.0,Karachi
2025-09-01 08:00:00,25.7,65.0,197.0,3.4,11.8,82.0,Karachi
2025-09-01 09:00:00,24.9,61.0,210.0,3.7,11.7,82.0,Karachi
2025-09-01 10:00:00,24.4,58.9,225.0,4.4,11.8,78.0,Karachi
2025-09-01 11:00:00,23.9,56.7,244.0,5.7,12.0,72.0,Karachi
2025-09-01 12:00:00,25.8,62.6,260.0,7.8,12.8,66.0,Karachi
2025-09-01 13:00:00,24.5,56.8,271.0,12.6,12.6,57.0,Karachi
2025-09-01 14:00:00,24.3,49.2,278.0,19.2,12.2,45.0,Karachi
2025-09-01 15:00:00,25.0,49.2,282.0,23.6,11.7,37.0,Karachi
2025-09-01 16:00:00,25.2,49.6,285.0,23.8,11.0,36.0,Karachi
2025-09-01 17:00:00,25.3,49.2,285.0,21.8,10.2,38.0,Karachi
2025-09-01 18:00:00,25.0,48.5,272.0,19.2,9.4,41.0,Karachi
2025-09-01 19:00:00,24.4,47.8,236.0,16.2,8.5,44.0,Karachi
2025-09-01 20:00:00,23.3,46.1,187.0,12.7,7.5,47.0,Karachi
2025-09-01 21:00:00,22.7,45.4,151.0,9.9,6.9,49.0,Karachi
2025-09-01 22:00:00,22.1,44.6,135.0,8.3,6.7,50.0,Karachi
2025-09-01 23:00:00,22.1,45.1,131.0,7.5,6.9,50.0,Karachi
2025-09-02 00:00:00,21.3,42.8,148.0,6.5,7.0,53.0,Karachi
2025-09-02 01:00:00,21.0,42.1,204.0,8.7,8.3,51.0,Karachi
2025-09-02 02:00:00,22.6,44.0,280.0,11.6,10.2,49.0,Karachi
2025-09-02 03:00:00,24.0,51.0,324.0,12.9,11.9,51.0,Karachi
2025-09-02 04:00:00,24.3,55.1,304.0,11.0,13.3,60.0,Karachi
2025-09-02 05:00:00,25.3,59.3,253.0,7.5,14.5,72.0,Karachi
2025-09-02 06:00:00,26.5,61.9,216.0,4.9,15.3,81.0,Karachi
2025-09-02 07:00:00,27.0,61.0,213.0,4.0,15.4,86.0,Karachi
2025-09-02 08:00:00,26.3,59.6,224.0,4.0,15.0,87.0,Karachi
2025-09-02 09:00:00,25.4,56.9,238.0,4.5,14.6,86.0,Karachi
2025-09-02 10:00:00,24.7,55.1,254.0,4.9,14.4,81.0,Karachi
2025-09-02 11:00:00,24.0,53.7,273.0,5.9,14.2,72.0,Karachi
2025-09-02 12:00:00,28.7,67.1,289.0,8.1,13.1,61.0,Karachi
2025-09-02 13:00:00,28.6,65.0,299.0,13.4,12.9,52.0,Karachi
2025-09-02 14:00:00,29.7,60.8,306.0,20.6,12.7,39.0,Karachi
2025-09-02 15:00:00,30.7,60.8,317.0,26.3,12.4,29.0,Karachi
2025-09-02 16:00:00,31.5,61.5,346.0,28.9,12.2,25.0,Karachi
2025-09-02 17:00:00,32.7,62.9,379.0,29.8,12.0,24.0,Karachi
2025-09-02 18:00:00,33.6,64.5,384.0,29.8,11.6,23.0,Karachi
2025-09-02 19:00:00,33.5,65.0,336.0,29.0,10.9,22.0,Karachi
2025-09-02 20:00:00,33.5,64.5,261.0,27.2,10.0,23.0,Karachi
2025-09-02 21:00:00,32.9,62.2,204.0,24.9,9.4,24.0,Karachi
2025-09-02 22:00:00,32.0,61.0,178.0,21.7,9.1,27.0,Karachi
2025-09-02 23:00:00,30.3,58.7,169.0,18.0,9.1,31.0,Karachi
2025-09-03 00:00:00,25.1,48.0,182.0,12.0,8.9,39.0,Karachi
2025-09-03 01:00:00,24.0,46.0,235.0,12.8,9.7,39.0,Karachi
2025-09-03 02:00:00,25.3,48.4,309.0,13.8,11.0,40.0,Karachi
2025-09-03 03:00:00,26.7,56.6,351.0,13.7,12.4,45.0,Karachi
2025-09-03 04:00:00,27.8,63.3,330.0,11.4,14.3,56.0,Karachi
2025-09-03 05:00:00,29.7,70.5,278.0,8.0,16.3,71.0,Karachi
2025-09-03 06:00:00,32.7,77.8,237.0,5.4,17.9,84.0,Karachi
